Date,Name,Year,Letterboxd URI
2024-08-24,Ghost in the Shell 2: Innocence,2004,https://boxd.it/1SrG
2024-09-02,Time Bandits,1981,https://boxd.it/19KI
2024-09-09,Annihilation,2018,https://boxd.it/9yzm
2024-09-09,Love Lies Bleeding,2024,https://boxd.it/zN4q
2024-09-21,May December,2023,https://boxd.it/vEE2
2024-09-26,Enemy,2013,https://boxd.it/5xtO
2024-10-03,Suspiria,2018,https://boxd.it/cioI
2024-10-09,Lifeforce,1985,https://boxd.it/1SGw
2024-10-12,The Player,1992,https://boxd.it/1WlM
2024-10-13,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2024-10-16,The Chaser,2008,https://boxd.it/1PgU
2024-11-11,Tinker Tailor Soldier Spy,2011,https://boxd.it/FRY
2024-11-11,Let the Right One In,2008,https://boxd.it/1Qr0
2024-11-25,The Conversation,1974,https://boxd.it/2a38
2024-11-25,The Saragossa Manuscript,1965,https://boxd.it/1ZPA
2024-12-13,Robinson in Ruins,2010,https://boxd.it/2hn0
2024-12-13,London,1994,https://boxd.it/41qw
2025-01-14,Candyman,1992,https://boxd.it/1Ys6
2025-01-14,Battle Royale,2000,https://boxd.it/25zS
2025-01-16,The Belly of an Architect,1987,https://boxd.it/1IWO
2025-01-21,Wild at Heart,1990,https://boxd.it/2aii
2025-01-21,The Elephant Man,1980,https://boxd.it/27LQ
2025-01-24,Police Story,1985,https://boxd.it/1Zhe
2025-02-02,Cosmopolis,2012,https://boxd.it/H4O
2025-02-03,I-Be Area,2007,https://boxd.it/6VHs
2025-02-03,Center Jenny,2013,https://boxd.it/6Tu2
2025-02-05,Bad Taste,1987,https://boxd.it/1Xq4
2025-02-05,"No Retreat, No Surrender 3: Blood Brothers",1990,https://boxd.it/19Ao
2025-02-09,Barry Lyndon,1975,https://boxd.it/25A2
2025-05-21,THX 1138,1971,https://boxd.it/29Ww
2025-05-21,The Andromeda Strain,1971,https://boxd.it/1W4Q
2025-05-29,My Wrongs #8245–8249 & 117,2002,https://boxd.it/1uto
2025-05-30,Conclave,2024,https://boxd.it/AO8q
2025-06-01,Hard Boiled,1992,https://boxd.it/1T6a
2025-06-01,Face/Off,1997,https://boxd.it/29I0
2025-06-01,The Killer,1989,https://boxd.it/1Vha
2025-06-02,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M
2025-06-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2025-06-25,Drunken Angel,1948,https://boxd.it/1uYQ
2025-06-25,The Bad Sleep Well,1960,https://boxd.it/1iLA
2025-06-26,28 Days Later,2002,https://boxd.it/2aXU
2025-06-27,Dead Man's Shoes,2004,https://boxd.it/1R6C
2025-06-30,Cure,1997,https://boxd.it/1blA
2025-07-15,Amadeus,1984,https://boxd.it/2aH8
2025-08-08,Serial Mom,1994,https://boxd.it/1Tty
2025-08-08,Cabaret,1972,https://boxd.it/1Vpe
2025-08-11,Vertigo,1958,https://boxd.it/2apI
